Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-03-29 21:59:45,2024-03-30 20:37:31,UTC-04:00,2024-03-29 21:59:45,2024-03-30 06:04:45,78,14.6,384,479,244,91,49,95,492,34,80,80,false
2024-03-28 21:32:48,2024-03-29 21:59:45,UTC-04:00,2024-03-28 21:32:48,2024-03-29 07:12:08,87,15.4,458,579,297,114,47,121,526,69,80,77,false
2024-03-27 22:24:29,2024-03-28 21:32:48,UTC-04:00,2024-03-27 22:24:29,2024-03-28 05:45:14,71,14.9,331,436,238,64,29,105,469,12,75,81,false
2024-03-26 21:13:28,2024-03-27 22:24:29,UTC-04:00,2024-03-26 21:13:28,2024-03-27 05:59:52,96,15.7,460,525,254,104,102,65,479,22,87,83,false
2024-03-25 21:57:31,2024-03-26 21:13:28,UTC-04:00,2024-03-25 21:57:31,2024-03-26 05:56:48,91,15.7,422,475,231,63,128,53,466,5,88,74,false
2024-03-24 20:35:57,2024-03-25 21:57:31,UTC-04:00,2024-03-24 20:35:57,2024-03-25 05:34:25,98,15.4,462,535,319,90,53,73,470,0,87,86,false
2024-03-23 20:10:45,2024-03-24 20:35:57,UTC-04:00,2024-03-23 20:10:45,2024-03-24 06:50:59,100,17.6,588,640,236,130,222,52,503,13,93,80,false
2024-03-22 21:34:20,2024-03-23 20:10:45,UTC-04:00,2024-03-22 21:34:20,2024-03-23 07:07:28,95,16.1,447,571,252,75,120,124,468,10,81,74,false
2024-03-21 20:37:01,2024-03-22 21:34:20,UTC-04:00,2024-03-21 20:37:01,2024-03-22 06:17:01,97,14.8,474,548,291,112,71,74,491,15,86,80,false
2024-03-20 19:53:32,2024-03-21 20:37:01,UTC-04:00,2024-03-20 19:53:32,2024-03-21 05:44:44,95,13.9,482,591,345,80,57,109,506,47,81,69,false
2024-03-19 21:19:31,2024-03-20 19:53:32,UTC-04:00,2024-03-19 21:19:31,2024-03-20 05:46:04,85,16.6,430,505,194,82,154,75,503,44,86,70,false
