Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-03-12 21:43:00,2024-03-13 21:11:39,UTC-04:00,2024-03-13 12:13:10,2024-03-13 13:04:38,51,Disc Golf,5.7,153.0,138,118,10,84,6,0,0,true,3398.21,406.81,11.72
2024-03-11 20:54:30,2024-03-12 21:43:00,UTC-04:00,2024-03-12 16:06:11,2024-03-12 16:35:08,28,Running,14.4,428.0,190,165,2,1,2,24,70,true,4842.46,78.95,-4.12
2024-03-10 22:23:56,2024-03-11 20:54:30,UTC-04:00,2024-03-11 12:22:36,2024-03-11 12:54:31,31,Functional Fitness,5.1,100.0,172,112,45,31,14,4,0,false,,,
2024-03-04 21:24:39,2024-03-05 20:55:18,UTC-05:00,2024-03-05 16:05:11,2024-03-05 16:31:03,25,Running,13.3,372.0,184,164,1,1,3,29,66,true,4909.27,93.84,0.69
2024-03-04 21:24:39,2024-03-05 20:55:18,UTC-05:00,2024-03-05 11:54:19,2024-03-05 12:39:10,44,Disc Golf,5.7,149.0,132,119,3,97,0,0,0,true,1812.73,179.10,-10.81
2024-03-03 21:27:27,2024-03-04 21:24:39,UTC-05:00,2024-03-04 12:36:59,2024-03-04 12:54:03,17,Weightlifting,4.5,53.0,151,115,24,53,20,1,0,false,,,
2024-03-03 21:27:27,2024-03-04 21:24:39,UTC-05:00,2024-03-04 12:16:51,2024-03-04 12:36:36,19,Yard Work,6.0,137.0,151,134,2,24,68,6,0,false,,,
2024-03-02 23:19:43,2024-03-03 21:27:27,UTC-05:00,2024-03-03 12:39:12,2024-03-03 13:08:34,29,Running,13.1,390.0,182,159,2,0,8,43,47,true,5418.24,78.51,13.28
2024-03-01 21:46:03,2024-03-02 23:19:43,UTC-05:00,2024-03-02 21:19:28,2024-03-02 23:07:02,107,Gaming,0.0,124.0,113,78,11,0,0,0,0,false,,,
2024-03-01 21:46:03,2024-03-02 23:19:43,UTC-05:00,2024-03-02 12:31:24,2024-03-02 12:54:46,23,Running,12.1,307.0,186,158,0,1,8,53,36,true,4362.79,56.34,-4.08
2024-02-27 21:00:51,2024-02-28 21:27:00,UTC-05:00,2024-02-28 12:28:53,2024-02-28 12:53:44,24,Walking,4.8,74.0,151,118,13,68,19,0,0,true,2693.78,108.92,0.80
2024-02-26 21:05:29,2024-02-27 21:00:51,UTC-05:00,2024-02-27 15:47:26,2024-02-27 16:16:28,29,Running,13.6,406.0,185,163,1,2,5,29,63,true,5030.80,77.95,-8.89
2024-02-25 21:36:24,2024-02-26 21:05:29,UTC-05:00,2024-02-26 14:57:09,2024-02-26 15:13:59,16,Walking,0.0,19.0,120,96,77,5,0,0,0,true,680.44,44.64,1.40
2024-02-25 21:36:24,2024-02-26 21:05:29,UTC-05:00,2024-02-26 08:10:30,2024-02-26 08:41:17,30,Walking,4.1,45.0,135,98,52,24,2,0,0,true,858.75,43.45,0.00
2024-02-24 20:15:42,2024-02-25 21:36:24,UTC-05:00,2024-02-25 08:55:21,2024-02-25 10:26:18,90,Hiking/Rucking,4.4,122.0,138,104,45,41,1,0,0,true,4511.89,519.25,-0.61
2024-02-23 21:08:27,2024-02-24 20:15:42,UTC-05:00,2024-02-24 15:32:53,2024-02-24 15:47:19,14,Walking,2.2,17.0,124,106,71,29,0,0,0,false,,,
2024-02-23 21:08:27,2024-02-24 20:15:42,UTC-05:00,2024-02-24 13:59:31,2024-02-24 15:01:24,61,Yard Work,6.9,247.0,153,122,4,58,31,3,0,false,,,
2024-02-23 21:08:27,2024-02-24 20:15:42,UTC-05:00,2024-02-24 10:42:47,2024-02-24 11:13:37,30,Walking,0.0,36.0,122,98,85,7,0,0,0,true,1213.96,159.59,0.00
2024-02-22 23:26:51,2024-02-23 21:08:27,UTC-05:00,2024-02-23 14:05:39,2024-02-23 14:30:31,24,Walking,4.0,31.0,127,105,69,30,0,0,0,true,1148.98,129.25,0.00
2024-02-21 21:38:18,2024-02-22 23:26:51,UTC-05:00,2024-02-22 12:59:58,2024-02-22 13:14:39,14,Walking,1.1,17.0,122,107,84,16,0,0,0,true,1325.27,141.67,0.30
2024-02-20 20:31:37,2024-02-21 21:38:18,UTC-05:00,2024-02-21 13:21:28,2024-02-21 13:28:58,7,Walking,4.0,10.0,128,109,44,56,0,0,0,true,403.44,38.40,0.92
2024-02-20 20:31:37,2024-02-21 21:38:18,UTC-05:00,2024-02-21 12:08:52,2024-02-21 12:47:10,38,Disc Golf,5.3,118.0,142,119,6,84,10,0,0,true,1581.54,243.61,1.22
2024-02-19 20:50:35,2024-02-20 20:31:37,UTC-05:00,2024-02-20 15:48:44,2024-02-20 16:16:24,27,Running,13.7,398.0,190,165,0,2,4,36,58,false,4886.96,76.27,-2.11
2024-02-19 20:50:35,2024-02-20 20:31:37,UTC-05:00,2024-02-20 12:10:18,2024-02-20 12:44:36,34,Disc Golf,4.8,80.0,135,117,14,83,3,0,0,true,1419.22,283.33,-7.20
2024-02-18 21:20:21,2024-02-19 20:50:35,UTC-05:00,2024-02-19 09:13:05,2024-02-19 09:33:47,20,Walking,0.0,24.0,114,95,83,1,0,0,0,true,668.38,60.10,0.10
2024-02-16 21:36:24,2024-02-17 23:04:19,UTC-05:00,2024-02-17 15:25:19,2024-02-17 15:34:19,9,Walking,4.1,16.0,131,111,34,66,0,0,0,false,,,
2024-02-12 20:47:25,2024-02-13 21:20:54,UTC-05:00,2024-02-13 16:20:31,2024-02-13 16:39:08,18,Running,10.6,243.0,184,159,1,0,8,54,37,true,3182.24,96.14,-0.20
